,PUE,ISO3_COUNTRY_CODE,total_wall_clock_time,total_power,kg_carbon,carbon_cost,exp_name,exp_set
0,1,CAN,2.1989099324411816,0.01773828596125409,0.0005321485788376227,-4.373027109346917e-06,sub-1110743,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.1054246103101306,0.011753632221863514,0.0003526089666559054,-2.897627902254694e-06,sub-1011809,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.562831664416525,0.014050126234360942,0.00042150378703082825,-3.463783538432865e-06,sub-3174352,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.5279420510927837,0.013239458354578383,0.0003971837506373515,-3.2639292445789127e-06,sub-1245278,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.441652322543992,0.010874826314140378,0.00032624478942421133,-2.680975511672995e-06,sub-1035366,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,0.9790037410789066,0.01540443222067334,0.0004621329666202002,-3.797661163668546e-06,sub-3614538,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.3355366281006071,0.01554741598070155,0.00046642247942104646,-3.83291101025268e-06,sub-1450654,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.41610471089681,0.019419014670692448,0.0005825704401207734,-4.787377866003225e-06,sub-1004436,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.5782810213830736,0.014735623455414609,0.00044206870366243826,-3.632779457068835e-06,sub-1033401,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,2.077626690864563,0.018750392694266108,0.0005625117808279832,-4.622542208533038e-06,sub-2316147,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.1892255416843627,0.012651427737092501,0.0003795428321127751,-3.118961808773184e-06,sub-1072930,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.4480764122141732,0.011818786685058157,0.00035456360055174474,-2.9136904595089566e-06,sub-1455277,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.3664711535639233,0.011775559509365607,0.0003532667852809682,-2.9030336456783006e-06,sub-1232770,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,0.9944170533286201,0.012562817452713766,0.000376884523581413,-3.0971166780428778e-06,sub-4364423,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,2.2579838188489276,0.020671793733243918,0.0006201538119973176,-5.096226015961254e-06,sub-1838053,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.7371219325065612,0.01653068559317984,0.0004959205677953952,-4.075316881967503e-06,sub-1005469,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.2520955141385397,0.01378458474969312,0.0004135375424907936,-3.398319484372339e-06,sub-1021576,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.267414550251431,0.013187943422051507,0.0003956383026615452,-3.251229246565109e-06,sub-4656152,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.2346821519401339,0.012204829390625782,0.00036614488171877346,-3.0088617303127055e-06,sub-1027606,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.502037125296063,0.01554563104289044,0.0004663689312867132,-3.832470968782297e-06,sub-1193159,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.0413521785868538,0.010866891838658297,0.0003260067551597489,-2.679019422090417e-06,sub-1190941,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.3848685600360235,0.01552696028657876,0.0004658088085973628,-3.827868059364705e-06,sub-4245899,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,3.2051045922438304,0.026324770635217168,0.0007897431190565151,-6.489856792623579e-06,sub-1006569,fastsurferRecon_run1_cpu_prune_0
0,1,CAN,1.4442316236098607,0.020322932053448185,0.0006096879616034456,-5.010220999101598e-06,sub-1000394,fastsurferRecon_run1_cpu_prune_0
